EnsemblID,gene_name,logFC,logCPM,PValue,FDR,F,gene_biotype,GroupA_AvgCPM,GroupB_AvgCPM,GroupA_stdv,GroupB_stdv,log10FDR,alias,mygene_name,summary
C3_05750C_A,C3_05750C_A,-1.65905,4.77527,1.27E-06,7.71E-05,109.152,protein_coding,41.2432,13.054,9.17354,1.22943,4.11289,NA,uncharacterized protein,NA
C3_05790C_A,SGF11,-1.01121,2.38287,9.60E-05,0.00086704,39.9266,protein_coding,6.6962,3.31468,0.888232,0.492523,3.06196,NA,SAGA histone acetyltransferase complex subunit,NA
C3_05860C_A,C3_05860C_A,1.01586,3.83315,2.16E-05,0.000341148,57.3058,protein_coding,9.3174,18.8358,0.543055,3.21689,3.46706,NA,25S rRNA (uracil2634-N3)-methyltransferase,NA
C3_05960W_A,ASE1,1.48202,4.73282,7.21E-06,0.000183286,73.9481,protein_coding,13.9446,38.9653,2.7179,7.37208,3.73687,NA,Ase1p,NA
C3_05980C_A,FAA2,1.42542,7.23134,0.000981722,0.00426361,21.8374,protein_coding,81.4643,218.882,10.6091,116.33,2.37022,NA,Faa2p,NA
C3_06100C_A,DED1,-1.84454,4.54518,1.16E-06,7.62E-05,111.463,protein_coding,36.1557,10.046,8.12446,1.44046,4.11785,NA,DEAD-box ATP-dependent RNA helicase,NA
C3_06470W_A,AAF1,-1.68938,6.37407,0.00140805,0.00563415,19.6398,protein_coding,126.229,39.126,68.8516,8.94015,2.24917,NA,C2H2-type transcription factor AAF1,NA
C3_06580W_A,JEN1,1.90325,8.72864,1.55E-05,0.000276163,62.4651,protein_coding,178.907,669.296,39.1447,199.873,3.55883,NA,Jen1p,NA
C3_06610W_A,C3_06610W_A,-1.03703,4.59909,0.000103454,0.000904166,39.1771,protein_coding,32.2955,15.7261,5.70594,2.95037,3.04375,NA,uncharacterized protein,NA
C3_06660C_A,C3_06660C_A,2.07507,1.61941,7.15E-05,0.000726945,43.0306,protein_coding,1.11365,4.73753,0.418365,1.64732,3.1385,NA,uncharacterized protein,NA
C3_06670C_A,C3_06670C_A,-2.12301,5.69656,2.79E-06,0.00011257,92.9649,protein_coding,83.9481,19.264,21.9516,4.83191,3.94858,NA,uncharacterized protein,NA
C3_06790W_A,6.00TRY,-1.89523,3.41717,0.000404519,0.00230167,28.0096,protein_coding,16.4753,4.3938,6.20611,1.78161,2.63796,NA,Try6p,NA
C3_06880W_A,C3_06880W_A,-1.04491,0.77959,0.00100893,0.0043428,21.3848,protein_coding,2.04786,0.989167,0.328848,0.180689,2.36223,NA,uncharacterized protein,NA
C3_06890W_A,PMT2,-1.34425,7.98879,0.000170124,0.00128602,34.7429,protein_coding,364.147,143.409,68.7634,49.6373,2.89075,NA,dolichyl-phosphate-mannose-protein mannosyltransferase,NA
C3_06940W_A,C3_06940W_A,1.39173,-0.0813241,0.00205099,0.00744158,17.4388,protein_coding,0.417971,1.11433,0.168931,0.195137,2.12833,NA,uncharacterized protein,NA
C3_06980W_A,HUT1,-1.9139,3.17442,0.00022141,0.0015434,32.912,protein_coding,13.8955,3.68124,5.04778,1.65618,2.81152,NA,Hut1p,NA
C3_07160W_A,PGA32,4.85164,4.43991,6.38E-08,1.48E-05,219.481,protein_coding,1.444,41.7975,0.699729,12.9291,4.83009,NA,Pga32p,NA
C3_07180C_A,BMT1,1.85075,3.46888,1.74E-06,9.19E-05,101.855,protein_coding,4.73419,17.095,0.263798,4.54127,4.03678,NA,Bmt1p,NA
C3_07310C_A,SLK19,1.21797,10.5706,7.48E-05,0.000747337,42.4715,protein_coding,914.347,2126.95,197.38,400.213,3.12648,NA,Slk19p,NA
C3_07340W_A,GCY1,1.21377,4.46178,0.00130705,0.00532184,20.0801,protein_coding,13.1987,30.6277,4.26466,10.3366,2.27394,NA,glycerol 2-dehydrogenase (NADP(+)),NA
C3_07470W_A,C3_07470W_A,3.15373,6.04133,1.18E-06,7.62E-05,115.243,protein_coding,13.2927,118.222,5.76991,21.9343,4.11785,NA,uncharacterized protein,NA
C3_07540C_A,C3_07540C_A,1.26534,4.73231,0.000136259,0.00110959,36.7743,protein_coding,15.5326,37.3339,4.43973,6.34415,2.95484,NA,uncharacterized protein,NA
C3_07570C_A,C3_07570C_A,1.34219,3.38472,2.99E-05,0.000425266,53.0387,protein_coding,5.81932,14.7418,1.53775,1.94536,3.37134,NA,uncharacterized protein,NA
C3_07580W_A,C3_07580W_A,1.7202,6.23241,3.20E-07,4.22E-05,147.712,protein_coding,34.9494,115.153,5.73356,16.1614,4.37504,NA,uncharacterized protein,NA
C3_07590W_A,C3_07590W_A,1.75107,3.75513,2.04E-06,9.53E-05,98.3546,protein_coding,6.11575,20.5878,1.52233,2.27762,4.02069,NA,uncharacterized protein,NA
C3_07670W_A,C3_07670W_A,-1.13697,5.41276,3.34E-05,0.000461534,51.6461,protein_coding,58.2705,26.4728,3.23184,6.31274,3.3358,NA,uncharacterized protein,NA
C3_07730W_A,WOR4,-1.58144,6.58515,6.03E-05,0.000652494,45.8414,protein_coding,143.565,47.9511,48.7561,6.57026,3.18542,NA,Wor4p,NA
C3_07810C_A,SEC61,-1.60202,9.68598,0.000221976,0.00154457,32.8835,protein_coding,1238.83,408.068,305.323,163.835,2.81119,NA,translocon subunit,NA
C3_07830W_A,FBP1,-1.36316,9.50987,1.04E-05,0.000222926,67.9855,protein_coding,1049.62,407.989,174.558,77.3606,3.65184,NA,"fructose 1,6-bisphosphate 1-phosphatase",NA
C3_07980C_A,C3_07980C_A,-1.37271,4.73926,0.00153508,0.0060058,19.1382,protein_coding,38.1952,14.7491,14.0647,5.63241,2.22143,NA,,NA
C4_00160C_A,CAR2,3.55365,11.6309,2.91E-08,1.03E-05,246.839,protein_coding,497.723,5844.74,129.728,1027.41,4.9888,NA,ornithine-oxo-acid transaminase,NA
C4_00240C_A,PRO3,2.23712,9.81505,1.88E-06,9.53E-05,100.114,protein_coding,315.195,1486.12,85.8268,329.493,4.02069,NA,pyrroline-5-carboxylate reductase,NA
C4_00250W_A,C4_00250W_A,1.58757,2.46245,7.21E-06,0.000183286,73.9789,protein_coding,2.66183,8.02344,0.467113,1.54759,3.73687,NA,uncharacterized protein,NA
C4_00370W_A,HOF1,2.34877,4.75667,1.85E-05,0.000306127,61.0959,protein_coding,8.83989,44.9875,4.21388,7.32101,3.5141,NA,formin-binding protein,NA
C4_00620C_A,SPC2,-1.09928,7.36225,0.000522488,0.00273164,25.7959,protein_coding,224.039,104.557,55.0444,27.9959,2.56358,NA,signal peptidase complex subunit,NA
C4_00630C_A,SEC72,-1.16946,7.33234,8.32E-05,0.000794349,41.541,protein_coding,222.799,99.0416,51.3188,17.7203,3.09999,NA,Sec63 complex subunit,NA
C4_00960W_A,PTC8,-1.40895,5.57531,8.07E-06,0.00019657,72.0537,protein_coding,68.9374,25.9463,15.7942,3.02914,3.70648,NA,Ptc8p,NA
C4_01550C_A,CPA1,-3.61973,4.87141,3.92E-07,4.74E-05,147.241,protein_coding,53.73,4.35227,20.6592,0.855679,4.32408,NA,carbamoyl-phosphate synthase (glutamine-hydrolyzing),NA
C4_01560C_A,C4_01560C_A,1.22323,4.47963,4.69E-06,0.000146943,81.5571,protein_coding,13.2782,31.0214,1.15217,5.61092,3.83285,NA,ubiquitin-ubiquitin ligase,NA
C4_01800W_A,C4_01800W_A,1.58707,4.16731,0.0146452,0.0343917,8.82915,protein_coding,8.92206,26.6951,7.4279,4.23801,1.46355,NA,uncharacterized protein,NA
C4_01830C_A,C4_01830C_A,1.312,4.07262,1.16E-05,0.000235798,66.273,protein_coding,9.57468,23.7603,2.08835,2.72031,3.62746,NA,uncharacterized protein,NA
C4_01940W_A,PHO89,-1.80146,9.44134,1.10E-05,0.000227604,67.4991,protein_coding,1080.09,309.845,278.453,68.1283,3.64282,NA,Pho89p,NA
C4_02120W_A,ERV29,-1.52786,8.38302,1.03E-05,0.000221876,68.1661,protein_coding,495.399,171.792,110.715,33.0794,3.65389,NA,Erv29p,NA
C4_02230C_A,HQD2,1.65091,4.16038,7.53E-06,0.000188892,73.2146,protein_coding,8.56926,26.9324,1.52785,6.65257,3.72379,NA,uncharacterized protein,NA
C4_02360W_A,AMS1,1.11208,6.65521,8.57E-06,0.000204518,71.0594,protein_coding,63.6681,137.633,10.6573,15.1702,3.68927,NA,alpha-mannosidase,NA
C4_02370C_A,PGA59,1.29461,14.286,0.000343131,0.0020767,28.7512,protein_coding,11570.2,28382.9,3858.99,3632.57,2.68263,NA,Pga59p,NA
C4_02380W_A,C4_02380W_A,-3.5355,0.713225,0.000101219,0.000894619,37.9108,protein_coding,2.6303,0.221326,1.22224,0.177717,3.04836,NA,,NA
C4_02440C_A,PGA38,3.62034,6.55837,2.87E-08,1.03E-05,251.29,protein_coding,14.1594,174.164,4.35587,37.2838,4.9888,NA,Pga38p,NA
C4_02460W_A,C4_02460W_A,-1.16888,5.28651,5.01E-06,0.000154482,80.3416,protein_coding,53.7183,23.8916,9.62652,1.61393,3.81112,NA,uncharacterized protein,NA
C4_02660W_A,C4_02660W_A,3.31839,3.71246,2.78E-08,1.03E-05,249.48,protein_coding,2.35732,23.6114,0.467543,5.53237,4.9888,NA,uncharacterized protein,NA
C4_02900C_A,CRH11,1.07354,10.3469,0.0122547,0.0299294,9.4736,protein_coding,838.913,1765.54,425.427,460.438,1.5239,NA,transglycosylase,NA
C4_02990C_A,GST2,1.20024,4.59483,1.03E-05,0.000221876,68.1242,protein_coding,14.5588,33.4421,2.96443,2.47219,3.65389,NA,glutathione S-transferase GST2,NA
C4_03000C_A,C4_03000C_A,-1.11668,6.00758,1.07E-05,0.000222926,67.5885,protein_coding,87.7607,40.4581,13.5675,5.45956,3.65184,NA,uncharacterized protein,NA
C4_03070W_A,PGA54,-1.13231,7.11916,0.00334233,0.0108383,15.0078,protein_coding,190.672,86.9814,82.0017,21.472,1.96504,NA,Pga54p,NA
C4_03300C_A,C4_03300C_A,-1.1237,2.85491,7.99E-06,0.000195536,72.2274,protein_coding,9.64121,4.42167,1.01861,0.468486,3.70877,NA,uncharacterized protein,NA
C4_03360C_A,VTC4,1.02511,6.83736,1.93E-05,0.000312657,58.8731,protein_coding,75.2565,153.152,14.1039,11.9459,3.50493,NA,Vtc4p,NA
C4_03460C_A,C4_03460C_A,-1.17217,1.19906,0.000449603,0.00245693,26.7704,protein_coding,2.90906,1.28687,0.539372,0.289828,2.60961,NA,uncharacterized protein,NA
C4_03620C_A,CDR3,2.91635,7.72118,7.81E-07,6.20E-05,126.317,protein_coding,49.3467,372.468,18.6202,55.6373,4.20733,NA,Cdr3p,NA
C4_03820C_A,HRQ2,1.76003,4.47599,6.02E-06,0.000163043,77.3295,protein_coding,10.073,34.1331,2.9264,4.35013,3.7877,NA,Hrq2p,NA
C4_03830W_A,C4_03830W_A,1.40651,3.8662,1.30E-05,0.000249868,64.5729,protein_coding,7.89502,20.9328,0.950082,4.69133,3.60229,NA,tRNA (guanosine(18)-2'-O)-methyltransferase,NA
C4_03960W_A,C4_03960W_A,-1.95299,1.92335,3.88E-06,0.000134801,85.2761,protein_coding,5.70225,1.45243,0.783364,0.416707,3.87031,NA,uncharacterized protein,NA
C4_04050C_A,RHD3.00,1.52117,6.80251,0.000155088,0.0012135,36.1047,protein_coding,57.6159,165.404,12.8001,57.1777,2.91596,NA,Rhd3p,NA
C4_04070C_A,PGA30,1.93378,1.8884,3.78E-06,0.000134561,85.7363,protein_coding,1.46348,5.61967,0.239304,1.14839,3.87108,NA,Pga30p,NA
C4_04160W_A,C4_04160W_A,-1.24344,6.64018,2.66E-06,0.00011257,92.6369,protein_coding,139.942,59.0803,17.5639,8.34458,3.94858,NA,uncharacterized protein,NA
C4_04170C_A,AXL2,-1.3769,3.21163,4.32E-06,0.000142186,83.1153,protein_coding,13.0731,5.02054,0.759908,1.09855,3.84714,NA,Axl2p,NA
